sno,claim,url,claim_entered,agent_i,issue_i,position_i,agent_fsp,issue_fsp,position_fsp,agent_correct,issue_correct,position_correct
68,"Says Hillary Clinton ""voted to raise taxes on workers earning as little as $41,500.""",https://www.politifact.com/factchecks/2016/aug/29/republican-party-florida/republican-party-florida-facebook-post-misses-mark/,"Hillary Clinton voted to raise taxes on workers earning as little as $41,500","[0, 15]","[22, 76]","[-1, -1]",Hillary Clinton,"to raise taxes on workers earning as little as $41,500",no_position,-,-,-
69,"Says Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.""",https://www.politifact.com/factchecks/2016/aug/26/russ-feingold/feingold-johnson-voted-five-times-tax-breaks-help-/,Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas,"[0, 11]","[33, 92]","[29, 32]",Ron Johnson,tax breaks that help companies ship Wisconsin jobs overseas,for,-,-,-
70,"Says Marco Rubio ""voted against the bipartisan Violence Against Women Act.""",https://www.politifact.com/factchecks/2016/aug/24/patrick-murphy/rubio-voted-against-violence-against-women-act-mur/,Marco Rubio voted against the bipartisan Violence Against Women Act,"[0, 11]","[26, 67]","[18, 25]",Marco Rubio,the bipartisan Violence Against Women Act,against,-,-,-
71,"""Mike Pence voted against expanding the Childrenâs Health Insurance program, which Hillary helped to start.""",https://www.politifact.com/factchecks/2016/aug/08/howard-dean/howard-dean-largely-right-mike-pences-health-polic/,Mike Pence voted against expanding the Children Health Insurance program,"[0, 10]","[25, 64]","[17, 24]",Mike Pence,expanding the Children Health Insurance,against,-,-,-
72,"Says Debbie Wasserman Schultz ""has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.""",https://www.politifact.com/factchecks/2016/jul/25/tim-canova/tim-canova-attacks-debbie-wasserman-schultzs-recor/,Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups,"[0, 24]","[35, 114]","[-1, -1]",Debbie Wasserman Schultz,for huge subsidies for the sugar industry ... as well as for delays in cleanups,no_position,-,-,-
73,"Says Sen. John McCain ""told dreamers that heâll support the Dream Act, then he voted against it.""",https://www.politifact.com/factchecks/2016/may/24/ann-kirkpatrick/did-john-mccain-support-dream-act-then-vote-agains/,"Sen. John McCain told dreamers that he support the Dream Act, then he voted against it","[67, 69]","[27, 30]","[17, 27]",he,ers,told dream,-,-,-
74,"Kelly Ayotte ""has voted to defund Planned Parenthood"" six times.",https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-has-record-voting-/,Kelly Ayotte has voted to defund Planned Parenthood six times,"[0, 12]","[23, 51]","[-1, -1]",Kelly Ayotte,to defund Planned Parenthood,no_position,-,-,-
75,"""Kelly Ayotte has voted four times against the federal Paycheck Fairness Act.""",https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-repeatedly-voted-a/,Kelly Ayotte has voted four times against the federal Paycheck Fairness Act,"[0, 12]","[42, 75]","[34, 41]",Kelly Ayotte,the federal Paycheck Fairness Act,against,-,-,-
76,"Says he ""was the only Republican"" to vote against creating a House panel to investigate Planned Parenthood.",https://www.politifact.com/factchecks/2016/apr/26/david-jolly/us-rep-david-jolly-says-he-voted-against-house-pla/,U.S. Rep. David Jolly was the only Republican to vote against creating a House panel to investigate Planned Parenthood,"[0, 21]","[62, 118]","[54, 61]",U.S. Rep. David Jolly,creating a House panel to investigate Planned Parenthood,against,-,-,-
77,"SaysÂ Bernie Sanders ""voted for what we call the 'Charleston Loophole.'""",https://www.politifact.com/factchecks/2016/jan/18/hillary-clinton/fact-checking-hillary-clintons-claim-bernie-sander/,Bernie Sanders voted for what we call the Charleston Loophole,"[0, 14]","[25, 61]","[21, 24]",Bernie Sanders,what we call the Charleston Loophole,for,-,-,-
78,"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",https://www.politifact.com/factchecks/2016/jan/07/hillary-clinton/hillary-clintons-syrian-air-strikes-claim-against-/,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people,"[0, 11]","[26, 121]","[18, 25]",Marco Rubio,authorizing President Obama to strike Syria after Assad used chemical weapons on his own people,against,-,-,-
