sno,claim,url,claim_entered,sourced_bills,stella_en_1.5B_v5_cossim,stella_en_400M_v5_cossim,gte-Qwen2-1.5B-instruct_cossim,gte-large-en-v1.5_cossim,stella_en_1.5B_v5_dotscore,stella_en_400M_v5_dotscore,gte-Qwen2-1.5B-instruct_dotscore,gte-large-en-v1.5_dotscore,part1_claim,part1_agent,part1_issue
10,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",https://www.politifact.com/factchecks/2020/oct/19/afscme/arizona-house-race-attack-ad-zeroes-prescription-d/,"David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices",['116 HR 19'],"['117 HR 5376', '112 HR 5651', '117 HRES 1017', '117 HR 7667', '117 HRES 1404', '117 HR 2355', '112 HRES 591', '117 HR 1899', '112 HRES 724', '112 HRES 219']","['117 HR 5376', '117 HRES 1017', '112 HR 5651', '117 HR 7667', '117 HR 2355', '112 HRES 219', '117 HR 1899', '117 HR 1629', '117 HR 5677', '117 HRES 1404']",-,-,"['117 HRES 1512', '117 S 5230', '117 HRES 1300', '117 HR 6878', '117 HR 7174', '117 HR 8987', '117 HR 5677', '117 HR 5290', '112 HRES 844', '112 HR 6672']","['117 HR 5376', '112 HR 5651', '117 HR 5677', '117 HRES 1017', '117 HR 7667', '112 HRES 219', '117 HR 2355', '112 HRES 724', '117 S 1301', '112 HRES 522']",-,-,"David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices",S001183,77@122
11,"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth.""",https://www.politifact.com/factchecks/2020/oct/14/tommy-tuberville/tommy-tuberville-wrong-twice-attack-alabama-sen-do/,Doug Jones has voted to spend our tax dollars on late-term abortions and supports abortion up until birth,['116 S 109'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Doug Jones has voted to spend our tax dollars on late-term abortions and supports abortion up until birth,J000300,21@105
12,Says Martha McSally âvoted to take away money from Fort Huachuca to pay for the border wall.â,https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/,Martha McSally voted to take away money from Fort Huachuca to pay for the border wall,"['116 HJRES 46', '116 SJRES 54']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Martha McSally voted to take away money from Fort Huachuca to pay for the border wall,M001197,21@85
13,"Says âLucy McBath voted to release criminals from prison. Murderers, rapists.â",https://www.politifact.com/factchecks/2020/oct/12/national-republican-congressional-committee/lucy-mcbath-didnt-vote-release-murderers-rapists-p/,Lucy McBath voted to release criminals from prison,['116 HR 6800'],"['117 HR 1621', '117 HR 3372', '117 HRES 760', '117 HR 5705', '117 HR 3617', '117 HR 983', '117 HRES 1499', '117 HR 4250', '117 HR 5911', '117 HR 1693']","['117 HR 1621', '117 HR 3372', '117 HR 983', '117 HR 5455', '117 HRES 1499', '117 HR 55', '117 HR 5911', '117 HR 1693', '117 HR 5705', '117 HRES 760']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 256', '117 HR 5677', '117 HR 5705', '117 HR 5290']","['117 HRES 1512', '117 S 5230', '117 HRES 1300', '117 HR 6878', '117 HR 7174', '117 HR 8987', '117 HR 1621', '117 HR 983', '117 HR 5705', '117 HRES 1499']",-,-,Lucy McBath voted to release criminals from prison,M001208,18@50
14,Says Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politiciansâ campaigns to pay for personal expenses and TV ads.,https://www.politifact.com/factchecks/2020/oct/12/nancy-mace/sc-rep-cunningham-did-not-vote-5m-tax-funds-go-cam/,Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians campaigns to pay for personal expenses and TV ads,['116 HR 1'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians campaigns to pay for personal expenses and TV ads,C001122,25@140
15,Says Kamala Harris and other Democratic senators âvoted to let babies scream until they die if born alive.â,https://www.politifact.com/factchecks/2020/sep/01/viral-image/facebook-post-mischaracterizes-democratic-senators/,Kamala Harris voted to let babies scream until they die if born alive,"['116 S 311', '107 HR 2175']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Kamala Harris voted to let babies scream until they die if born alive,H001075,20@69
16,Sen. Steve Daines âvoted to give billions in tax breaks to big drug companies even as they raised prices.â,https://www.politifact.com/factchecks/2020/aug/25/duty-and-honor/misleading-ad-montana-senate-race-casts-steve-dain/,Sen. Steve Daines voted to give billions in tax breaks to big drug companies even as they raised prices,['116 S 2543'],"['117 HR 5376', '117 S 1301', '117 SJRES 33', '117 S 610', '117 HR 1868', '117 SCONRES 14', '117 HR 1319', '117 SCONRES 5', '117 SJRES 32', '117 S 4822']","['117 HR 5376', '117 S 1301', '117 SJRES 33', '117 HR 1868', '117 S 610', '117 HR 6617', '117 HR 6119', '117 HR 1319', '117 SJRES 32', '117 SCONRES 14']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 33', '117 SJRES 38', '117 SJRES 63', '117 HR 5376', '117 S 1301', '117 SJRES 32', '117 SJRES 60', '117 SJRES 39']","['117 HR 5376', '117 S 1301', '117 SJRES 33', '117 S 5355', '117 SCONRES 43', '117 HR 1868', '117 HR 1319', '117 S 610', '117 HR 6617', '117 HR 6119']",-,-,Sen. Steve Daines voted to give billions in tax breaks to big drug companies even as they raised prices,D000618,24@103
17,Says Rep. Elissa Slotkin âvoted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments.â,https://www.politifact.com/factchecks/2020/aug/24/paul-junge/fact-check-junge-says-slotkin-voted-against-condem/,Rep. Elissa Slotkin voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments,"['116 HRES 1031', '116 HRES 1028', '116 HR 2', '116 HR 6395']","['117 HR 1934', '117 HR 7314', '117 HRES 130', '117 HRES 317', '117 HRES 1125', '117 HRES 837', '117 HR 4521', '117 HR 3344', '117 HRES 720', '117 HRES 760']","['117 HR 7314', '117 HR 1934', '117 HRES 130', '117 HRES 317', '117 HR 4521', '117 HR 3344', '117 HR 7180', '117 S 658', '117 S 4834', '117 HRES 331']",-,-,"['117 HRES 1300', '117 HR 7174', '117 HR 8987', '117 HRES 1512', '117 HR 6878', '117 S 5230', '117 HRES 275', '117 HRES 130', '117 HR 5290', '117 HRES 134']","['117 HR 1934', '117 HR 7314', '117 HRES 130', '117 HRES 317', '117 S 658', '117 HR 7180', '117 HRES 1300', '117 HRES 1512', '117 S 5230', '117 HR 7174']",-,-,Rep. Elissa Slotkin voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments,S001208,34@146
18,"Says U.S. Rep. Dan Lipinski âvoted against the DREAM Act, supports separating families and banning Muslims.â",https://www.politifact.com/factchecks/2020/mar/08/rush-darwish/challengers-account-lipinskis-immigration-record-f/,"U.S. Rep. Dan Lipinski voted against the DREAM Act, supports separating families and banning Muslims","['111 HR 5281', '116 HR 6', '116 HR 541', '116 HR 2214']","['111 HR 5281', '109 HRES 610', '109 HRES 621', '112 HRES 821', '109 HRES 1018', '109 HR 418', '109 HRES 71', '109 HR 6094', '112 HJRES 77', '112 HJRES 98']","['111 HR 5281', '110 HRES 635', '111 HRES 534', '109 HR 418', '109 HRES 610', '109 HR 6094', '109 HRES 621', '112 HRES 821', '112 S 3245', '110 HR 1955']",-,-,"['111 HRES 534', '110 HRES 663', '110 HRES 1097', '111 HRES 403', '111 HRES 1222', '110 HRES 29', '109 HCONRES 210', '109 HRES 610', '109 HRES 534', '109 HRES 621']","['111 HR 5281', '111 HRES 534', '109 HRES 621', '109 HRES 610', '110 HRES 635', '109 HJRES 52', '112 HRES 821', '110 HR 1955', '109 HRES 1018', '109 HR 418']",-,-,"U.S. Rep. Dan Lipinski voted against the DREAM Act, supports separating families and banning Muslims",L000563,37@100
19,"Says Sen. Thom Tillis voted to ""take away"" coverage for people with pre-existing conditions.",https://www.politifact.com/factchecks/2020/mar/02/cal-cunningham/cunningham-says-tills-voted-take-away-coverage-pre/,Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions,['115 S 3388'],"['117 HR 1868', '117 SJRES 32', '117 HR 5376', '117 SJRES 41', '117 S 610', '117 S 2938', '117 SJRES 38', '117 SJRES 63', '117 SJRES 39', '117 SCONRES 43']","['117 HR 1868', '117 SJRES 32', '117 S 610', '117 SJRES 41', '117 SJRES 39', '117 HR 3755', '117 S 4132', '117 S 3373', '117 HR 3967', '117 SJRES 38']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 32', '117 SJRES 60', '117 SJRES 39', '117 SJRES 33', '117 SJRES 35', '117 SJRES 41']","['117 SCONRES 43', '117 S 5355', '117 HR 1868', '117 SJRES 32', '117 S 610', '117 SJRES 41', '117 SJRES 38', '117 SJRES 63', '117 SJRES 31', '117 SJRES 39']",-,-,Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions,T000476,23@84
20,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",https://www.politifact.com/factchecks/2020/feb/27/tweets/dating-back-1991-and-his-time-house-bernie-sanders/,Bernie Sanders never voted yes on sanctions against Russia,['114 S 284'],-,-,-,-,-,-,-,-,Bernie Sanders never voted yes on sanctions against Russia,-,no_issue
21,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Sen. Rand Paul voted no to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']","['112 S 1723', '117 HR 3237', '117 HR 1652', '117 HR 6119', '117 HR 6617', '117 HR 5305', '117 HR 6833', '117 HR 1319', '112 S 3457', '112 HR 1']","['117 HR 1652', '112 S 1723', '117 HR 3237', '117 HR 6119', '117 HR 6617', '117 HR 6833', '117 HR 5305', '117 HR 1319', '112 HR 1', '112 S 1925']",-,-,"['117 S 5355', '117 SCONRES 43', '117 SJRES 38', '117 SJRES 63', '112 SJRES 25', '112 HJRES 98', '117 SJRES 33', '112 HCONRES 94', '112 HCONRES 36', '117 HR 7691']","['117 HR 1652', '117 HR 3237', '117 HR 6833', '112 S 1723', '117 HR 1319', '117 SJRES 33', '117 HR 6119', '117 HR 6617', '117 S 1301', '112 S 1925']",-,-,Sen. Rand Paul voted no to provide further funding for the 9/11 First Responders Victims Fund,P000603,24@93
22,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Rep. Ilhan Omar voted yes to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']","['117 S 1511', '117 HRES 950', '117 HR 3237', '117 HR 1652', '117 HR 6119', '117 HRES 1033', '117 HRES 1097', '117 HR 2278', '117 HR 6617', '117 HR 5305']","['117 S 1511', '117 HR 1652', '117 HR 3237', '117 HRES 1097', '117 HR 2278', '117 HR 6825', '117 HR 6119', '117 HRES 1033', '117 HR 6617', '117 HRES 1224']",-,-,"['117 HRES 1300', '117 HR 8987', '117 HRES 1512', '117 S 5230', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HRES 198', '117 HRES 852']","['117 S 1511', '117 HR 1652', '117 HR 3237', '117 HR 2278', '117 HRES 950', '117 HR 6825', '117 HR 6833', '117 HR 7693', '117 HRES 1097', '117 HR 1319']",-,-,Rep. Ilhan Omar voted yes to provide further funding for the 9/11 First Responders Victims Fund,O000173,26@95
23,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",https://www.politifact.com/factchecks/2019/apr/26/justice-democrats/biden-draws-barbs-progressive-democratic-organizat/,"Joe Biden voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation","['100 HR 05210', '103 HR 3355', '109 S 256']","['108 SCONRES 31', '105 SCONRES 78', '102 SRES 76', '106 HR 2415', '110 S 470', '108 SRES 95', '110 HR 1591', '110 HR 4156', '102 SJRES 1', '108 S 762']","['106 HR 2415', '108 SRES 95', '110 S 470', '102 SJRES 1', '108 SCONRES 31', '110 S 574', '101 SRES 318', '102 SRES 214', '102 SCONRES 5', '108 SRES 356']",-,-,"['101 S 1798', '102 HJRES 374', '106 HJRES 127', '108 HJRES 97', '106 HJRES 126', '106 HJRES 118', '106 HR 2415', '106 HJRES 111', '106 HJRES 115', '106 HJRES 110']","['106 HR 2415', '106 HR 4635', '102 SRES 214', '110 S 470', '110 S 574', '101 S 1798', '101 SRES 318', '107 S 2578', '108 SCONRES 31', '102 HJRES 374']",-,-,"Joe Biden voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation",B000444,20@91
24,"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on PennsylvaniaÂ streets, to prey all over this country.""",https://www.politifact.com/factchecks/2018/oct/31/donald-trump/donald-trumps-wild-number-sanctuary-city-criminal-/,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country","['115 HR 1236', '115 S 303']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country",C000228,25@205
25,"""George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage"" for their pre-existing conditions.",https://www.politifact.com/factchecks/2018/oct/29/linda-coleman/holding-voted-quite-consistently-healthcare-bills/,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions","['113 HR 45', '113 HR 2009', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27', '114 SCONRES 11', '114 HR 3762']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions",H001065,34@114
26,"Says Beto OâRourke ""voted to shield MS-13 gang members from deportation.""",https://www.politifact.com/factchecks/2018/oct/25/donald-trump/mostly-false-donald-trump-claim-beto-orourke-voted/,Beto O Rourke voted to shield MS-13 gang members from deportation,['115 HR 3697'],-,-,-,-,-,-,-,-,Beto O Rourke voted to shield MS-13 gang members from deportation,no_agent,-
27,"Says Ted Budd ""voted to gut protections for pre-existing conditions â¦ letting insurance companies deny coverage for (necessary) treatment.""",https://www.politifact.com/factchecks/2018/oct/22/kathy-manning/fact-checking-kathy-mannings-ad-ted-budd-and-pre-e/,Ted Budd voted to gut protections for pre-existing conditions letting insurance companies deny coverage for (necessary) treatment,['115 HR 1628'],"['117 HR 1916', '117 HR 239', '117 HRES 950', '117 HR 1868', '117 HRES 1404', '117 HR 1667', '117 HR 5376', '117 HRES 1396', '117 S 610', '117 HRES 1017']","['117 HR 1916', '117 HR 239', '117 HRES 1404', '117 HRES 1396', '117 HR 1667', '117 HRES 1464', '117 HRES 950', '117 HR 3755', '117 HR 8296', '117 HR 1868']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HR 256', '117 HRES 1302']","['117 HR 1916', '117 HR 239', '117 HRES 950', '117 HRES 1300', '117 HRES 1512', '117 HR 6878', '117 S 5230', '117 HR 8987', '117 HR 7174', '117 HRES 1017']",-,-,Ted Budd voted to gut protections for pre-existing conditions letting insurance companies deny coverage for (necessary) treatment,B001305,15@129
28,"Says Dave Brat ""voted against protecting pre-existing conditions.""",https://www.politifact.com/factchecks/2018/oct/11/abigail-spanberger/spanberger-ad-exaggerates-brats-vote-pre-existing-/,Dave Brat voted against protecting pre-existing conditions,['115 HR 1628'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Dave Brat voted against protecting pre-existing conditions,B001290,24@58
