sno,claim,url,claim_entered,sourced_bills,msmarco-MiniLM-L-6-v3,msmarco-MiniLM-L-12-v3,msmarco-distilbert-base-v3,msmarco-distilbert-base-v4,msmarco-roberta-base-v3,msmarco-distilbert-base-dot-prod-v3,msmarco-roberta-base-ance-firstp,msmarco-distilbert-base-tas-b,bm25Okapi,bm25L,bm25Plus
10,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",https://www.politifact.com/factchecks/2020/oct/19/afscme/arizona-house-race-attack-ad-zeroes-prescription-d/,"David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices",['116 HR 19'],-,-,-,-,-,-,-,"['117 HR 7667', '112 HR 5651', '112 HR 436', '117 HR 7790', '117 HR 2355', '117 HR 654', '117 HR 7688', '117 HR 5376', '117 HR 3743', '117 HRES 1017']","['116 S 3129', '115 S 348', '116 S 3384', '117 SRES 151', '110 S 3', '114 S 2858', '116 HR 19', '115 HR 1775', '116 HR 5501', '116 S 3162']","['108 S 1050', '115 HR 5554', '113 HR 4304', '108 S 14', '108 S 1992', '114 HR 5394', '109 HR 4', '112 S 3187', '113 HR 15', '112 HR 5651']","['110 S 3', '116 S 3129', '116 S 3384', '114 S 2858', '115 S 348', '116 HR 5501', '116 S 3162', '117 SRES 151', '116 HR 19', '115 HR 1775']"
11,"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth.""",https://www.politifact.com/factchecks/2020/oct/14/tommy-tuberville/tommy-tuberville-wrong-twice-attack-alabama-sen-do/,Doug Jones has voted to spend our tax dollars on late-term abortions and supports abortion up until birth,['116 S 109'],-,-,-,-,-,-,-,no_bill_found,"['117 HR 8814', '117 HR 8814', '114 HR 7', '114 HR 7', '111 HRES 94', '117 S 86', '117 S 86', '115 HR 7', '115 HR 7', '118 HR 12']","['113 HR 1', '109 HR 4', '108 S 1050', '113 HR 4304', '113 HR 15', '110 HR 7060', '108 S 14', '113 HR 5771', '113 S 744', '113 S 2260']","['117 HR 8814', '117 HR 8814', '114 HR 7', '114 HR 7', '117 S 86', '117 S 86', '117 HR 6465', '116 HR 2373', '111 HRES 94', '115 HR 7']"
12,Says Martha McSally âvoted to take away money from Fort Huachuca to pay for the border wall.â,https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/,Martha McSally voted to take away money from Fort Huachuca to pay for the border wall,"['116 HJRES 46', '116 SJRES 54']",-,-,-,-,-,-,-,no_bill_found,"['116 HR 256', '117 HR 416', '117 HR 416', '113 HRES 736', '115 HR 7304', '118 HR 1531', '110 HRES 52', '116 HR 3717', '116 HR 85', '117 HR 58']","['108 S 1050', '113 HR 15', '113 HR 4304', '109 HR 4', '113 S 744', '108 S 14', '114 HR 5394', '112 HR 3630', '113 S 696', '112 HR 7']","['113 HRES 736', '116 HR 256', '117 HR 416', '117 HR 416', '115 HR 7304', '117 HR 2390', '116 S 2848', '115 HRES 225', '108 S 1823', '115 HR 5876']"
13,"Says âLucy McBath voted to release criminals from prison. Murderers, rapists.â",https://www.politifact.com/factchecks/2020/oct/12/national-republican-congressional-committee/lucy-mcbath-didnt-vote-release-murderers-rapists-p/,Lucy McBath voted to release criminals from prison,['116 HR 6800'],-,-,-,-,-,-,-,"['117 HR 983', '117 HR 4250', '117 S 3846', '117 HR 55', '117 HR 5911', '117 HR 1280', '117 HR 5455', '117 HRES 760', '117 S 937', '117 HRES 134']","['116 HR 3387', '117 HR 3963', '117 HR 3963', '117 HR 929', '117 HR 929', '113 HR 4074', '112 HR 6382', '112 HR 74', '111 HR 2450', '114 HR 6097']","['108 S 1050', '114 HR 5394', '113 HR 4304', '109 HR 4', '113 HR 15', '108 S 14', '113 S 696', '112 HR 3630', '108 S 1435', '113 HR 3895']","['116 HR 3387', '117 HR 929', '117 HR 929', '114 S 2231', '116 S 3035', '117 HR 3963', '117 HR 3963', '113 HR 4074', '112 HR 6382', '108 HRES 302']"
14,Says Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politiciansâ campaigns to pay for personal expenses and TV ads.,https://www.politifact.com/factchecks/2020/oct/12/nancy-mace/sc-rep-cunningham-did-not-vote-5m-tax-funds-go-cam/,Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians campaigns to pay for personal expenses and TV ads,['116 HR 1'],-,-,-,-,-,-,-,no_bill_found,"['116 HR 6500', '116 HR 6500', '109 HRES 185', '116 HR 4931', '116 HR 1827', '117 S 141', '116 S 73', '116 HR 8399', '115 S 2478', '109 HR 4440']","['108 S 1050', '114 HR 5394', '113 HR 4304', '108 S 14', '113 HR 15', '109 HR 4', '113 HR 4034', '112 HR 3630', '112 HR 7', '113 S 744']","['116 HR 6500', '116 HR 6500', '109 HRES 185', '116 HR 1827', '117 S 141', '116 HR 8399', '116 S 73', '115 S 2478', '118 S 500', '116 HR 5956']"
15,Says Kamala Harris and other Democratic senators âvoted to let babies scream until they die if born alive.â,https://www.politifact.com/factchecks/2020/sep/01/viral-image/facebook-post-mischaracterizes-democratic-senators/,Kamala Harris voted to let babies scream until they die if born alive,"['116 S 311', '107 HR 2175']",-,-,-,-,-,-,-,no_bill_found,"['117 HRES 679', '117 HRES 1002', '117 HRES 1002', '116 HR 8923', '116 HR 962', '116 HR 962', '116 S 311', '117 HR 619', '117 HR 619', '117 HR 619']","['108 S 1050', '109 HR 4', '113 HR 4304', '113 HR 15', '112 HR 3630', '108 S 14', '113 S 696', '113 S 744', '116 HR 8923', '116 HR 962']","['117 HRES 679', '117 HRES 1002', '117 HRES 1002', '116 HR 8923', '116 HR 962', '116 HR 962', '116 S 311', '117 HR 619', '117 HR 619', '117 HR 619']"
16,Sen. Steve Daines âvoted to give billions in tax breaks to big drug companies even as they raised prices.â,https://www.politifact.com/factchecks/2020/aug/25/duty-and-honor/misleading-ad-montana-senate-race-casts-steve-dain/,Sen. Steve Daines voted to give billions in tax breaks to big drug companies even as they raised prices,['116 S 2543'],-,-,-,-,-,-,-,"['117 HR 5376', '117 SJRES 33', '117 S 1301', '117 S 4822', '117 S 4008', '117 HR 4346', '117 S 610', '117 HR 1799', '117 HR 1652', '117 HR 6617']","['117 HR 6392', '113 S 8', '116 HR 6408', '116 HR 6408', '117 S 2837', '108 S 2714', '117 HR 4811', '108 S 1999', '108 HR 2409', '116 HR 1093']","['113 HR 1', '109 HR 4', '108 S 1050', '113 HR 4304', '110 HR 7060', '113 HR 5771', '112 HR 3630', '113 S 696', '108 S 14', '113 S 2260']","['116 HR 4711', '113 S 8', '117 HR 6392', '108 S 1999', '113 HR 1450', '113 HR 1450', '108 S 2714', '117 HR 4811', '117 S 2837', '116 S 378']"
17,Says Rep. Elissa Slotkin âvoted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments.â,https://www.politifact.com/factchecks/2020/aug/24/paul-junge/fact-check-junge-says-slotkin-voted-against-condem/,Rep. Elissa Slotkin voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments,"['116 HRES 1031', '116 HRES 1028', '116 HR 2', '116 HR 6395']",-,-,-,-,-,-,-,"['117 HR 7314', '117 HRES 317', '117 S 937', '117 HRES 414', '117 HRES 473', '117 HR 1319', '117 HR 4521', '117 HRES 130', '117 HRES 8', '117 HR 4738']","['118 HCONRES 48', '117 HR 5431', '117 HR 5431', '116 HR 7937', '117 HR 2329', '117 HR 6686', '113 HR 5103', '116 HRES 922', '117 HR 6650', '117 HR 6650']","['113 HR 4304', '108 S 1050', '109 HR 4', '112 S 3414', '114 HR 5394', '112 S 21', '112 HR 4271', '109 HR 5222', '112 S 813', '114 HR 9']","['118 HCONRES 48', '117 HR 5431', '117 HR 5431', '117 HR 6686', '116 HR 7937', '117 HR 2329', '116 HRES 922', '117 S 2933', '117 S 4820', '113 HR 5103']"
18,"Says U.S. Rep. Dan Lipinski âvoted against the DREAM Act, supports separating families and banning Muslims.â",https://www.politifact.com/factchecks/2020/mar/08/rush-darwish/challengers-account-lipinskis-immigration-record-f/,"U.S. Rep. Dan Lipinski voted against the DREAM Act, supports separating families and banning Muslims","['111 HR 5281', '116 HR 6', '116 HR 541', '116 HR 2214']",-,-,-,-,-,-,-,"['111 S 987', '111 HRES 534', '110 HRES 1069', '110 HRES 1276', '109 HR 4681', '110 HRES 377', '110 HRES 635', '111 HRES 877', '111 SCONRES 45', '111 HR 5281']","['115 HR 6193', '112 S 6', '112 HRES 521', '112 HRES 521', '111 HRES 1288', '109 HRES 368', '117 SRES 505', '110 HRES 665', '108 SRES 15', '114 HRES 569']","['113 HR 15', '113 HR 4304', '108 S 1050', '113 S 744', '113 HR 4034', '108 S 14', '112 HR 4271', '112 HR 4982', '111 HR 1105', '112 HR 3671']","['111 HR 2498', '115 HR 6193', '112 S 6', '110 HRES 665', '109 HRES 807', '111 HRES 1288', '112 HRES 521', '112 HRES 521', '108 SRES 15', '118 HR 593']"
19,"Says Sen. Thom Tillis voted to ""take away"" coverage for people with pre-existing conditions.",https://www.politifact.com/factchecks/2020/mar/02/cal-cunningham/cunningham-says-tills-voted-take-away-coverage-pre/,Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions,['115 S 3388'],-,-,-,-,-,-,-,"['117 HR 3755', '117 S 4132', '117 HR 6617', '117 HR 6119', '117 SJRES 41', '117 HR 5305', '117 HR 1868', '117 SJRES 39', '117 HR 5746', '117 S 610']","['115 S 3388', '115 HR 6898', '111 HR 3741', '113 HR 5328', '115 HR 628', '116 HRES 280', '113 HR 4496', '115 HRES 225', '115 HRES 1066', '117 HR 2149']","['108 S 1050', '113 HR 4304', '112 HR 3630', '108 S 14', '113 HR 15', '109 HR 4', '113 S 696', '113 S 744', '112 HR 7', '113 HR 4034']","['115 S 3388', '115 HR 6898', '113 HR 4496', '116 S 4506', '113 HR 5328', '115 HR 628', '116 HRES 280', '111 HR 3741', '115 HRES 1066', '114 SRES 85']"
20,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",https://www.politifact.com/factchecks/2020/feb/27/tweets/dating-back-1991-and-his-time-house-bernie-sanders/,Bernie Sanders never voted yes on sanctions against Russia,['114 S 284'],-,-,-,-,-,-,-,"['117 SCONRES 43', '117 S 5355', '107 HRES 354', '117 HR 4346', '105 HR 748', '108 HR 1307', '107 HR 5557', '108 HR 3288', '107 HR 2884', '110 S 3297']","['115 S 3275', '115 HR 5428', '115 SRES 582', '117 HR 7066', '116 HRES 474', '110 HCONRES 257', '117 HR 7429', '117 S 3867', '117 HR 6842', '118 SRES 72']","['113 S 1881', '112 S 1472', '112 HR 1905', '114 S 792', '114 S 269', '117 S 3513', '112 HR 4271', '111 HR 2194', '115 HR 3364', '113 S 1714']","['115 S 3275', '115 HR 5428', '116 HRES 474', '115 SRES 582', '118 SRES 72', '117 HR 6842', '117 HR 7066', '117 S 3867', '117 HR 7429', '117 S 3513']"
21,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Sen. Rand Paul voted no to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']",-,-,-,-,-,-,-,"['117 HR 1652', '112 S 1723', '117 HR 3237', '117 S 2938', '117 HR 6119', '112 HR 1', '112 HR 1473', '117 HR 6833', '117 HR 6617', '117 HR 5305']","['117 HR 8648', '117 HR 8648', '117 HR 5230', '112 HR 1455', '109 HR 1093', '110 HR 1638', '114 HR 3858', '113 HR 3081', '115 SRES 575', '113 HR 5503']","['108 S 1050', '109 HR 4', '113 HR 4304', '112 HR 3630', '112 HR 4271', '108 S 14', '112 HR 4982', '113 HR 15', '114 HR 5394', '112 HR 7']","['117 HR 8648', '117 HR 8648', '112 HR 1455', '117 HR 5230', '116 HR 6003', '109 HR 1093', '115 SRES 575', '114 HR 3858', '109 HRES 269', '111 HR 3402']"
22,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Rep. Ilhan Omar voted yes to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']",-,-,-,-,-,-,-,"['117 HR 1652', '117 S 1511', '117 S 3846', '117 HR 3237', '117 HR 3807', '117 S 2938', '117 HR 2379', '117 HR 2278', '117 HR 4133', '117 HR 2119']","['117 HR 8648', '117 HR 8648', '117 HR 5230', '118 HRES 76', '112 HR 1455', '109 HR 1093', '116 HRES 241', '110 HR 1638', '114 HR 3858', '114 HR 1794']","['108 S 1050', '109 HR 4', '113 HR 4304', '112 HR 3630', '112 HR 4271', '112 HR 4982', '108 S 14', '113 HR 15', '114 HR 5394', '112 HR 7']","['118 HRES 76', '117 HR 8648', '117 HR 8648', '116 HRES 241', '117 HRES 474', '112 HR 1455', '117 HR 5230', '116 HR 6003', '114 HR 1794', '114 HR 1794']"
23,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",https://www.politifact.com/factchecks/2019/apr/26/justice-democrats/biden-draws-barbs-progressive-democratic-organizat/,"Joe Biden voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation","['100 HR 05210', '103 HR 3355', '109 S 256']",-,-,-,-,-,-,-,"['108 S 762', '109 HR 1268', '109 S 256', '110 HR 2206', '110 HR 4156', '107 S 420', '108 S 1689', '110 HR 1591', '110 S 2340', '107 HR 333']","['114 HR 6484', '115 HR 1055', '108 SJRES 9', '108 HJRES 24', '117 HR 8835', '117 HR 8835', '114 HR 4208', '114 HR 4208', '108 HR 4649', '117 HR 9040']","['108 S 1050', '113 HR 4304', '108 S 14', '113 HR 15', '109 HR 4', '112 HR 3630', '113 HR 4034', '113 S 744', '112 HR 7', '113 HR 2498']","['117 HRES 377', '109 HRES 72', '109 HR 358', '117 HR 8835', '117 HR 8835', '108 SJRES 9', '108 HJRES 24', '110 HRES 1345', '108 HRES 799', '114 HR 6484']"
24,"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on PennsylvaniaÂ streets, to prey all over this country.""",https://www.politifact.com/factchecks/2018/oct/31/donald-trump/donald-trumps-wild-number-sanctuary-city-criminal-/,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country","['115 HR 1236', '115 S 303']",-,-,-,-,-,-,-,no_bill_found,"['111 SRES 449', '111 SRES 449', '109 S 2061', '109 HR 1576', '109 HR 1576', '109 HR 1576', '109 HR 1576', '109 HR 1576', '115 HR 5663', '110 HRES 351']","['113 HR 15', '113 HR 4304', '108 S 1050', '113 S 744', '108 S 14', '109 HR 4', '113 S 696', '112 HR 3630', '113 HR 4034', '114 HR 2898']","['109 HR 1576', '109 HR 1576', '109 HR 1576', '109 HR 1576', '109 HR 1576', '114 HR 4582', '109 SRES 523', '111 SRES 449', '111 SRES 449', '115 HR 5663']"
25,"""George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage"" for their pre-existing conditions.",https://www.politifact.com/factchecks/2018/oct/29/linda-coleman/holding-voted-quite-consistently-healthcare-bills/,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions","['113 HR 45', '113 HR 2009', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27', '114 SCONRES 11', '114 HR 3762']",-,-,-,-,-,-,-,no_bill_found,"['113 HR 5328', '115 HR 628', '109 HCONRES 331', '110 HRES 585', '109 SRES 370', '109 HRES 384', '111 HR 3741', '109 HCONRES 149', '115 S 3388', '114 HR 2085']","['108 S 1050', '113 HR 4304', '113 HR 15', '108 S 14', '109 HR 4', '113 S 744', '112 HR 3630', '113 S 696', '113 HR 4034', '112 HR 7']","['115 S 3388', '110 HRES 585', '116 S 4506', '115 HR 6898', '113 HR 4496', '113 HR 5328', '115 HR 628', '109 HCONRES 331', '109 SRES 370', '116 HRES 280']"
