sno,claim,url,claim_entered,sourced_bills,bills_found,msmarco-MiniLM-L-6-v3,msmarco-MiniLM-L-12-v3,msmarco-distilbert-base-v3,msmarco-distilbert-base-v4,msmarco-roberta-base-v3,msmarco-distilbert-base-dot-prod-v3,msmarco-roberta-base-ance-firstp,msmarco-distilbert-base-tas-b,bm25Okapi,bm25L,bm25Plus
10,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",https://www.politifact.com/factchecks/2020/oct/19/afscme/arizona-house-race-attack-ad-zeroes-prescription-d/,"David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices",['116 HR 19'],"['116 HR 987', '116 HR 1425', '114 HR 1270', '115 HR 6199', '116 HR 3', '114 HRES 793', '116 HR 266', '115 HR 7217', '115 HR 304', '117 HR 7688']","['116 HR 987', '113 HR 4899', '116 HR 2115', '116 HR 3', '113 HR 935', '113 HRES 641', '115 HR 953', '115 HR 1294', '114 HRES 720', '114 HRES 725']","['116 HR 987', '116 HR 3', '113 HRES 641', '115 HR 1294', '116 HR 2115', '113 HR 5462', '113 HR 4899', '114 HR 5711', '117 HR 2220', '114 HRES 921']","['116 HR 987', '116 HR 3', '113 HR 2804', '114 HR 1270', '116 HR 2115', '115 HR 6311', '117 HR 654', '113 HR 4899', '113 HR 3448', '115 HR 304']","['116 HR 987', '116 HR 1425', '114 HR 1270', '115 HR 6199', '116 HR 3', '114 HRES 793', '116 HR 266', '115 HR 7217', '115 HR 304', '117 HR 7688']","['116 HR 987', '116 HR 3', '113 S 622', '115 HR 1294', '114 HR 216', '116 HR 2115', '114 HR 1270', '117 HR 7688', '114 HRES 793', '116 HR 3413']","['116 HR 987', '114 HRES 725', '116 HR 3', '116 HRES 357', '113 HRES 339', '115 S 496', '114 HRES 793', '116 HRES 1017', '114 HRES 70', '113 HRES 215']","['116 HR 987', '114 HRES 720', '115 HRES 949', '115 HRES 934', '117 HRES 1017', '115 HRES 905', '114 HRES 793', '117 HRES 403', '114 HRES 319', '117 HRES 1396']","['116 HR 987', '116 HR 3', '114 HRES 793', '113 HR 4899', '113 S 622', '114 HRES 720', '113 HR 935', '117 HR 7688', '114 HRES 725', '116 HR 2115']","['116 S 3129', '115 S 348', '116 S 3384', '117 SRES 151', '110 S 3', '114 S 2858', '116 HR 19', '115 HR 1775', '116 HR 5501', '116 S 3162']","['108 S 1050', '115 HR 5554', '113 HR 4304', '108 S 14', '108 S 1992', '114 HR 5394', '109 HR 4', '112 S 3187', '113 HR 15', '112 HR 5651']","['110 S 3', '116 S 3129', '116 S 3384', '114 S 2858', '115 S 348', '116 HR 5501', '116 S 3162', '117 SRES 151', '116 HR 19', '115 HR 1775']"
11,"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth.""",https://www.politifact.com/factchecks/2020/oct/14/tommy-tuberville/tommy-tuberville-wrong-twice-attack-alabama-sen-do/,Doug Jones has voted to spend our tax dollars on late-term abortions and supports abortion up until birth,['116 S 109'],"['116 S 109', '115 HR 3', '116 S 311', '115 S 1182', '116 HR 2333', '115 HR 2579', '115 HR 6', '115 S 2155', '115 HR 302', '116 S 1790']","['116 S 109', '115 HR 3', '116 HR 3877', '116 S 311', '116 HR 2333', '115 HR 1892', '116 HR 2740', '115 S 2155', '115 HR 6147', '115 HR 5515']","['116 S 109', '115 HR 1892', '115 HR 3', '116 S 311', '116 HR 3877', '116 S 1332', '116 HR 2333', '115 HR 5515', '116 HR 3401', '115 HR 6147']","['116 S 109', '115 HR 3', '116 S 311', '115 HR 5515', '116 S 1790', '115 HR 1892', '116 HR 4378', '115 HR 195', '116 HR 3055', '116 HR 268']","['116 S 109', '115 HR 3', '116 S 311', '115 S 1182', '116 HR 2333', '115 HR 2579', '115 HR 6', '115 S 2155', '115 HR 302', '116 S 1790']","['116 S 109', '116 S 311', '115 HR 3', '116 S 3275', '116 HR 3055', '115 HR 195', '116 HR 8337', '116 HR 4378', '116 SRES 336', '116 HR 2740']","['116 S 109', '116 S 311', '115 SJRES 63', '116 SRES 336', '116 S 4653', '116 SJRES 36', '116 SJRES 37', '116 SJRES 38', '116 SJRES 53', '116 S 1332']","['116 S 109', '116 SRES 336', '116 S 311', '116 S 3275', '116 SJRES 50', '116 SRES 333', '115 SJRES 63', '116 HR 4378', '116 SJRES 37', '116 SRES 335']","['116 S 109', '116 S 311', '115 HR 3', '116 SRES 336', '115 HR 1865', '115 HR 5515', '115 HR 195', '116 S 1332', '116 HR 4378', '115 SJRES 63']","['117 HR 8814', '117 HR 8814', '114 HR 7', '114 HR 7', '111 HRES 94', '117 S 86', '117 S 86', '115 HR 7', '115 HR 7', '118 HR 12']","['113 HR 1', '109 HR 4', '108 S 1050', '113 HR 4304', '113 HR 15', '110 HR 7060', '108 S 14', '113 HR 5771', '113 S 744', '113 S 2260']","['117 HR 8814', '117 HR 8814', '114 HR 7', '114 HR 7', '117 S 86', '117 S 86', '117 HR 6465', '116 HR 2373', '111 HRES 94', '115 HR 7']"
12,Says Martha McSally âvoted to take away money from Fort Huachuca to pay for the border wall.â,https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/,Martha McSally voted to take away money from Fort Huachuca to pay for the border wall,"['116 HJRES 46', '116 SJRES 54']","['114 HR 2285', '115 HR 2213', '115 HRES 99', '115 HR 428', '116 HR 3401', '114 HR 2835', '114 HR 360', '115 HR 1917', '114 HR 1324', '114 HR 4557']","['114 HR 2786', '114 HR 2835', '116 HR 3401', '115 HR 2883', '115 HR 6136', '115 HRES 953', '114 HRES 933', '114 HRES 863', '114 HR 240', '114 HR 5711']","['114 HR 2835', '116 HR 3401', '114 HR 2786', '115 HR 3', '114 HRES 863', '114 HR 5351', '114 HR 5711', '114 HR 5931', '115 S 3777', '115 HR 6136']","['114 HR 2786', '116 HR 3401', '114 HR 2130', '115 HR 428', '114 HR 1324', '115 HR 497', '114 HR 2835', '115 HR 2213', '115 HRES 99', '115 HR 2866']","['114 HR 2285', '115 HR 2213', '115 HRES 99', '115 HR 428', '116 HR 3401', '114 HR 2835', '114 HR 360', '115 HR 1917', '114 HR 1324', '114 HR 4557']","['115 HR 6729', '115 HR 2213', '115 HR 146', '116 HR 3401', '114 HR 2835', '115 HR 7', '115 HRES 374', '115 HR 2658', '114 HR 3134', '115 HRES 953']","['115 HRES 681', '114 S 719', '114 S 3283', '114 HRES 949', '115 HRES 99', '116 SRES 333', '114 HR 1324', '114 S 2426', '116 SRES 335', '115 HRES 454']","['114 HRES 863', '114 HRES 388', '114 HRES 897', '115 HRES 374', '115 HRES 670', '114 HRES 793', '114 HRES 321', '114 HRES 744', '114 HRES 843', '114 HRES 770']","['114 HR 2835', '115 HR 2883', '114 HR 2786', '115 HR 428', '115 HR 2213', '115 HR 6136', '114 HR 1324', '115 S 35', '115 HR 337', '116 HR 3401']","['116 HR 256', '117 HR 416', '117 HR 416', '113 HRES 736', '115 HR 7304', '118 HR 1531', '110 HRES 52', '116 HR 3717', '116 HR 85', '117 HR 58']","['108 S 1050', '113 HR 15', '113 HR 4304', '109 HR 4', '113 S 744', '108 S 14', '114 HR 5394', '112 HR 3630', '113 S 696', '112 HR 7']","['113 HRES 736', '116 HR 256', '117 HR 416', '117 HR 416', '115 HR 7304', '117 HR 2390', '116 S 2848', '115 HRES 225', '108 S 1823', '115 HR 5876']"
13,"Says âLucy McBath voted to release criminals from prison. Murderers, rapists.â",https://www.politifact.com/factchecks/2020/oct/12/national-republican-congressional-committee/lucy-mcbath-didnt-vote-release-murderers-rapists-p/,Lucy McBath voted to release criminals from prison,['116 HR 6800'],"['116 HR 5078', '117 S 3846', '117 HRES 134', '117 HR 1621', '117 HR 8542', '117 HR 5673', '116 HRES 156', '117 HR 6878', '117 HR 3359', '117 HR 1652']","['117 HRES 134', '117 HR 446', '116 HR 3375', '116 HR 5078', '117 HR 7372', '117 HR 3617', '117 HR 7276', '117 HR 1652', '117 HR 4981', '117 HR 4250']","['117 HR 446', '116 HR 5078', '117 HRES 760', '117 HR 7372', '117 HR 1652', '117 HR 1392', '116 HR 3702', '117 HR 4250', '117 HR 5305', '117 HR 7276']","['117 HRES 134', '116 HR 5078', '117 HRES 760', '116 S 151', '117 HR 4250', '116 HR 758', '117 HR 4981', '117 HR 5407', '117 HR 1652', '117 HR 983']","['116 HR 5078', '117 S 3846', '117 HRES 134', '117 HR 1621', '117 HR 8542', '117 HR 5673', '116 HRES 156', '117 HR 6878', '117 HR 3359', '117 HR 1652']","['117 HRES 760', '117 HRES 892', '116 HR 1590', '117 HR 5720', '117 HR 5673', '117 HRES 134', '117 S 3823', '117 HR 4118', '116 HR 4344', '117 HR 8373']","['117 HRES 760', '117 HRES 134', '117 HR 4981', '116 HRES 509', '117 HRES 275', '117 HRES 1499', '116 HR 5078', '117 HRES 21', '116 HRES 430', '117 HRES 403']","['116 HRES 1244', '117 HRES 1499', '117 HCONRES 45', '117 HRES 760', '117 HRES 403', '117 HRES 1396', '117 HRES 1017', '117 HRES 1377', '117 HRES 179', '117 HRES 1065']","['116 HR 5078', '117 HR 4250', '116 HR 450', '117 HR 983', '117 HR 1621', '117 HRES 134', '116 HR 758', '116 HR 507', '116 HR 2722', '117 HR 5673']","['116 HR 3387', '117 HR 3963', '117 HR 3963', '117 HR 929', '117 HR 929', '113 HR 4074', '112 HR 6382', '112 HR 74', '111 HR 2450', '114 HR 6097']","['108 S 1050', '114 HR 5394', '113 HR 4304', '109 HR 4', '113 HR 15', '108 S 14', '113 S 696', '112 HR 3630', '108 S 1435', '113 HR 3895']","['116 HR 3387', '117 HR 929', '117 HR 929', '114 S 2231', '116 S 3035', '117 HR 3963', '117 HR 3963', '113 HR 4074', '112 HR 6382', '108 HRES 302']"
14,Says Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politiciansâ campaigns to pay for personal expenses and TV ads.,https://www.politifact.com/factchecks/2020/oct/12/nancy-mace/sc-rep-cunningham-did-not-vote-5m-tax-funds-go-cam/,Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians campaigns to pay for personal expenses and TV ads,['116 HR 1'],"['116 HRES 650', '116 HRES 460', '116 HR 4894', '116 HR 3877', '116 HRES 491', '116 HRES 967', '116 HRES 965', '116 HRES 28', '116 HCONRES 19', '116 HRES 172']","['116 HRES 650', '116 HRES 460', '116 HR 758', '116 HRES 172', '116 HR 6270', '116 HR 7120', '116 HR 264', '116 HR 3351', '116 HR 2115', '116 HR 116']","['116 HRES 460', '116 HRES 271', '116 HRES 492', '116 HR 3', '116 HR 4894', '116 HR 3351', '116 HRES 172', '116 HRES 866', '116 HRES 650', '116 HRES 1028']","['116 HRES 650', '116 HRES 460', '116 HRES 28', '116 HR 4894', '116 HRES 271', '116 HRES 491', '116 HRES 1060', '116 HRES 172', '116 HRES 445', '116 HRES 436']","['116 HRES 650', '116 HRES 460', '116 HR 4894', '116 HR 3877', '116 HRES 491', '116 HRES 967', '116 HRES 965', '116 HRES 28', '116 HCONRES 19', '116 HRES 172']","['116 HRES 650', '116 HR 3351', '116 HR 4894', '116 HR 264', '116 HR 2513', '116 HRES 460', '116 HJRES 1', '116 HR 7010', '116 HR 2740', '116 HR 1158']","['116 HRES 460', '116 HRES 650', '116 HRES 28', '116 HRES 491', '116 HRES 1017', '116 HRES 509', '116 HRES 1060', '116 HRES 1053', '116 HRES 967', '116 HRES 445']","['116 HRES 491', '116 HRES 650', '116 HRES 460', '116 HRES 509', '116 HRES 758', '116 HRES 172', '116 HRES 1053', '116 HRES 765', '116 HRES 519', '116 HRES 431']","['116 HR 4894', '116 HRES 650', '116 HRES 460', '116 HRES 172', '116 HR 3351', '116 HRES 491', '116 HR 3877', '116 HR 2115', '116 HRES 646', '116 HRES 492']","['116 HR 6500', '116 HR 6500', '109 HRES 185', '116 HR 4931', '116 HR 1827', '117 S 141', '116 S 73', '116 HR 8399', '115 S 2478', '109 HR 4440']","['108 S 1050', '114 HR 5394', '113 HR 4304', '108 S 14', '113 HR 15', '109 HR 4', '113 HR 4034', '112 HR 3630', '112 HR 7', '113 S 744']","['116 HR 6500', '116 HR 6500', '109 HRES 185', '116 HR 1827', '117 S 141', '116 HR 8399', '116 S 73', '115 S 2478', '118 S 500', '116 HR 5956']"
15,Says Kamala Harris and other Democratic senators âvoted to let babies scream until they die if born alive.â,https://www.politifact.com/factchecks/2020/sep/01/viral-image/facebook-post-mischaracterizes-democratic-senators/,Kamala Harris voted to let babies scream until they die if born alive,"['116 S 311', '107 HR 2175']","['115 S 2311', '116 S 3275', '116 S 109', '116 SRES 332', '116 HR 2333', '116 S 311', '116 S 151', '115 S 1182', '115 HR 1865', '116 SRES 212']","['115 S 2311', '116 HR 2333', '116 HJRES 46', '116 S 3275', '116 HR 6201', '115 S 2155', '116 S 311', '115 HJRES 58', '116 HR 748', '116 S 47']","['115 S 2311', '116 HR 2333', '116 HJRES 46', '116 S 311', '115 S 140', '116 S 2740', '116 HR 6201', '116 HR 2157', '116 SJRES 54', '116 HR 6172']","['115 S 2311', '116 S 3275', '115 HR 1865', '115 S 1182', '116 HJRES 46', '116 SRES 332', '115 S 756', '116 HR 1327', '116 S 311', '116 SJRES 54']","['115 S 2311', '116 S 3275', '116 S 109', '116 SRES 332', '116 HR 2333', '116 S 311', '116 S 151', '115 S 1182', '115 HR 1865', '116 SRES 212']","['116 S 311', '116 S 109', '115 S 2311', '116 S 3275', '115 HR 601', '116 S 2740', '116 HR 2157', '116 HR 2333', '115 HR 1', '116 HR 8337']","['116 S 3275', '115 S 2311', '116 S 311', '115 S 89', '116 SRES 332', '116 SRES 212', '116 SRES 333', '115 HJRES 83', '116 SJRES 52', '115 SJRES 54']","['116 S 311', '116 S 3275', '116 SRES 212', '116 S 109', '116 SRES 336', '115 S 84', '116 HR 1327', '115 HJRES 83', '116 SRES 333', '115 HJRES 36']","['115 S 2311', '116 S 3275', '116 S 311', '116 HR 6201', '115 HR 1865', '116 HR 2333', '116 S 4653', '116 HR 1327', '116 S 151', '115 HR 6157']","['117 HRES 679', '117 HRES 1002', '117 HRES 1002', '116 HR 8923', '116 HR 962', '116 HR 962', '116 S 311', '117 HR 619', '117 HR 619', '117 HR 619']","['108 S 1050', '109 HR 4', '113 HR 4304', '113 HR 15', '112 HR 3630', '108 S 14', '113 S 696', '113 S 744', '116 HR 8923', '116 HR 962']","['117 HRES 679', '117 HRES 1002', '117 HRES 1002', '116 HR 8923', '116 HR 962', '116 HR 962', '116 S 311', '117 HR 619', '117 HR 619', '117 HR 619']"
16,Sen. Steve Daines âvoted to give billions in tax breaks to big drug companies even as they raised prices.â,https://www.politifact.com/factchecks/2020/aug/25/duty-and-honor/misleading-ad-montana-senate-race-casts-steve-dain/,Sen. Steve Daines voted to give billions in tax breaks to big drug companies even as they raised prices,['116 S 2543'],"['113 HR 634', '115 HR 3364', '115 S 2554', '113 HR 5771', '113 HR 2009', '113 HR 4413', '113 HR 4935', '113 HR 4457', '117 S 610', '115 HR 3']","['115 HR 3', '116 S 109', '113 HR 2279', '113 HR 7', '113 HR 5771', '113 HR 4457', '113 HR 4411', '113 S 622', '113 HR 5739', '117 HR 6968']","['116 SJRES 50', '113 HR 3865', '113 HR 2824', '113 HRES 391', '113 HR 5771', '113 HR 4457', '115 HR 3', '113 HR 5739', '113 HR 2009', '113 HR 4453']","['115 S 2554', '113 HR 4457', '113 HR 4984', '113 HR 588', '113 HR 1582', '113 HR 4719', '115 S 2155', '113 HRES 680', '113 HRES 232', '116 S 109']","['113 HR 634', '115 HR 3364', '115 S 2554', '113 HR 5771', '113 HR 2009', '113 HR 4413', '113 HR 4935', '113 HR 4457', '117 S 610', '115 HR 3']","['115 S 2554', '113 S 622', '113 HR 5771', '113 HR 634', '113 HR 4718', '117 S 610', '113 HRES 569', '113 HRES 680', '113 HRES 391', '113 HRES 670']","['113 HRES 175', '113 HR 5461', '113 HRES 717', '113 HRES 530', '116 S 4653', '113 HRES 644', '113 HRES 515', '113 HJRES 89', '116 SJRES 78', '116 SJRES 77']","['113 HRES 616', '113 HRES 256', '113 HRES 266', '113 HRES 670', '113 HRES 770', '113 HRES 515', '113 HRES 727', '113 HRES 766', '113 HRES 322', '113 HRES 380']","['115 S 2554', '113 S 622', '113 HR 634', '113 HR 4457', '115 HR 3', '113 HR 5461', '113 HR 5405', '113 HR 4899', '113 HR 2', '113 HR 2274']","['117 HR 6392', '113 S 8', '116 HR 6408', '116 HR 6408', '117 S 2837', '108 S 2714', '117 HR 4811', '108 S 1999', '108 HR 2409', '116 HR 1093']","['113 HR 1', '109 HR 4', '108 S 1050', '113 HR 4304', '110 HR 7060', '113 HR 5771', '112 HR 3630', '113 S 696', '108 S 14', '113 S 2260']","['116 HR 4711', '113 S 8', '117 HR 6392', '108 S 1999', '113 HR 1450', '113 HR 1450', '108 S 2714', '117 HR 4811', '117 S 2837', '116 S 378']"
17,Says Rep. Elissa Slotkin âvoted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments.â,https://www.politifact.com/factchecks/2020/aug/24/paul-junge/fact-check-junge-says-slotkin-voted-against-condem/,Rep. Elissa Slotkin voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments,"['116 HRES 1031', '116 HRES 1028', '116 HR 2', '116 HR 6395']","['116 HRES 908', '117 S 937', '117 HRES 414', '117 HR 1651', '117 HRES 317', '116 HRES 1154', '117 HRES 1125', '117 HR 7334', '116 HRES 489', '117 HR 7777']","['116 HRES 908', '117 HR 4738', '117 S 937', '117 HR 3233', '116 HRES 1154', '117 HRES 1125', '117 HR 2685', '117 HR 7334', '116 HRES 491', '117 HR 1651']","['116 HRES 908', '117 HR 4738', '117 HR 1651', '117 HR 4040', '117 S 937', '117 HR 7334', '117 HR 7180', '116 HRES 1092', '117 HRES 414', '117 HR 567']","['116 HRES 489', '116 HRES 908', '117 HRES 317', '117 HRES 1125', '116 HRES 1154', '117 S 937', '116 HRES 246', '116 HRES 271', '116 HRES 387', '117 HRES 130']","['116 HRES 908', '117 S 937', '117 HRES 414', '117 HR 1651', '117 HRES 317', '116 HRES 1154', '117 HRES 1125', '117 HR 7334', '116 HRES 489', '117 HR 7777']","['116 HRES 908', '117 S 937', '117 HR 6824', '117 HR 4040', '117 HRES 317', '117 HR 7180', '117 S 658', '117 HR 1651', '117 HR 4738', '117 HR 350']","['116 HRES 891', '116 HRES 908', '116 HRES 274', '116 HRES 1164', '116 SJRES 37', '116 SJRES 38', '117 HRES 900', '116 SJRES 36', '117 HRES 317', '116 HRES 833']","['117 HRES 900', '117 HRES 317', '116 HRES 491', '117 HCONRES 45', '117 HRES 1124', '116 HRES 770', '117 HRES 535', '117 HRES 409', '117 HRES 403', '116 HRES 765']","['116 HRES 908', '117 S 937', '117 HRES 317', '117 HRES 414', '117 HR 4738', '116 HRES 1154', '117 HR 5665', '117 HRES 275', '117 HR 4055', '117 HRES 900']","['118 HCONRES 48', '117 HR 5431', '117 HR 5431', '116 HR 7937', '117 HR 2329', '117 HR 6686', '113 HR 5103', '116 HRES 922', '117 HR 6650', '117 HR 6650']","['113 HR 4304', '108 S 1050', '109 HR 4', '112 S 3414', '114 HR 5394', '112 S 21', '112 HR 4271', '109 HR 5222', '112 S 813', '114 HR 9']","['118 HCONRES 48', '117 HR 5431', '117 HR 5431', '117 HR 6686', '116 HR 7937', '117 HR 2329', '116 HRES 922', '117 S 2933', '117 S 4820', '113 HR 5103']"
18,"Says U.S. Rep. Dan Lipinski âvoted against the DREAM Act, supports separating families and banning Muslims.â",https://www.politifact.com/factchecks/2020/mar/08/rush-darwish/challengers-account-lipinskis-immigration-record-f/,"U.S. Rep. Dan Lipinski voted against the DREAM Act, supports separating families and banning Muslims","['111 HR 5281', '116 HR 6', '116 HR 541', '116 HR 2214']","['116 HR 2932', '116 HR 1771', '113 HR 3361', '116 HR 6', '115 HR 1842', '114 HR 4768', '113 HR 3393', '115 S 782', '116 HR 2203', '115 HR 2824']","['114 HR 2646', '116 HR 1771', '113 HR 4278', '116 HR 6782', '113 HR 7', '114 HR 7', '115 HR 7', '116 HR 722', '113 HR 3393', '115 HR 6760']","['114 HR 2646', '113 HR 4278', '116 HR 1771', '115 HR 6760', '115 HR 5192', '114 HR 3662', '114 HR 3457', '114 HR 469', '116 HR 722', '115 HR 6136']","['116 HR 1771', '116 HR 2932', '116 HR 6', '113 HR 3361', '114 HR 4768', '115 HR 3441', '116 HR 925', '116 HR 6800', '116 HR 2722', '114 S 2040']","['116 HR 2932', '116 HR 1771', '113 HR 3361', '116 HR 6', '115 HR 1842', '114 HR 4768', '113 HR 3393', '115 S 782', '116 HR 2203', '115 HR 2824']","['114 HR 1644', '116 HR 1771', '113 HR 3361', '116 HR 550', '116 HR 6', '114 HR 2646', '115 HR 3697', '116 HR 693', '116 HR 451', '115 HR 2579']","['116 HRES 891', '114 HRES 744', '113 HRES 511', '115 HRES 352', '113 HRES 694', '114 HRES 921', '113 HRES 775', '114 HRES 529', '116 SJRES 37', '115 HRES 533']","['115 HRES 414', '115 HRES 375', '116 HRES 1107', '115 HRES 513', '114 HRES 370', '115 HR 6760', '115 HRES 954', '116 HRES 377', '116 HRES 183', '116 HRES 891']","['116 HR 1771', '116 HR 6', '115 HR 2866', '116 HRES 891', '114 S 2040', '113 HR 1406', '115 HR 1730', '113 HR 3865', '115 HR 4909', '115 HR 1180']","['115 HR 6193', '112 S 6', '112 HRES 521', '112 HRES 521', '111 HRES 1288', '109 HRES 368', '117 SRES 505', '110 HRES 665', '108 SRES 15', '114 HRES 569']","['113 HR 15', '113 HR 4304', '108 S 1050', '113 S 744', '113 HR 4034', '108 S 14', '112 HR 4271', '112 HR 4982', '111 HR 1105', '112 HR 3671']","['111 HR 2498', '115 HR 6193', '112 S 6', '110 HRES 665', '109 HRES 807', '111 HRES 1288', '112 HRES 521', '112 HRES 521', '108 SRES 15', '118 HR 593']"
19,"Says Sen. Thom Tillis voted to ""take away"" coverage for people with pre-existing conditions.",https://www.politifact.com/factchecks/2020/mar/02/cal-cunningham/cunningham-says-tills-voted-take-away-coverage-pre/,Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions,['115 S 3388'],"['117 S 610', '116 S 109', '115 SJRES 63', '114 HR 36', '115 S 2311', '115 S 1182', '116 S 311', '115 HR 2579', '116 HR 748', '117 HR 1868']","['117 HR 3755', '114 HR 2146', '114 S 2146', '117 S 4132', '115 HR 1628', '116 S 578', '114 HR 26', '116 S 4653', '114 HR 3236', '115 S 1182']","['116 SRES 332', '115 HJRES 66', '115 HJRES 69', '116 S 311', '115 HJRES 67', '117 SJRES 46', '114 HR 5985', '117 HR 3755', '117 S 4132', '115 S 1182']","['115 S 1182', '115 HR 6', '117 S 610', '116 HR 748', '115 SJRES 63', '116 S 578', '116 S 4675', '115 HR 2266', '116 HR 4378', '117 HR 5305']","['117 S 610', '116 S 109', '115 SJRES 63', '115 S 2311', '114 HR 36', '115 S 1182', '116 S 311', '115 HR 2579', '116 HR 748', '117 HR 1868']","['116 S 4653', '117 S 610', '117 SJRES 32', '115 S 2554', '116 S 311', '114 HR 2', '116 SRES 332', '114 HR 34', '115 S 1182', '116 HR 1327']","['116 SRES 332', '115 SJRES 63', '115 HJRES 67', '116 SRES 336', '116 SJRES 52', '117 S 610', '115 HJRES 66', '115 HJRES 83', '117 SJRES 46', '117 SJRES 41']","['116 S 4653', '115 SJRES 63', '116 S 311', '116 SRES 332', '115 S 89', '117 SJRES 46', '115 SJRES 34', '117 SJRES 41', '116 S 4675', '117 SJRES 32']","['115 S 2311', '114 HR 36', '117 HR 3755', '117 HR 1652', '117 S 2093', '117 S 1', '114 S 2873', '115 HR 6', '115 S 1182', '115 SJRES 63']","['115 S 3388', '115 HR 6898', '111 HR 3741', '113 HR 5328', '115 HR 628', '116 HRES 280', '113 HR 4496', '115 HRES 225', '115 HRES 1066', '117 HR 2149']","['108 S 1050', '113 HR 4304', '112 HR 3630', '108 S 14', '113 HR 15', '109 HR 4', '113 S 696', '113 S 744', '112 HR 7', '113 HR 4034']","['115 S 3388', '115 HR 6898', '113 HR 4496', '116 S 4506', '113 HR 5328', '115 HR 628', '116 HRES 280', '111 HR 3741', '115 HRES 1066', '114 SRES 85']"
20,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",https://www.politifact.com/factchecks/2020/feb/27/tweets/dating-back-1991-and-his-time-house-bernie-sanders/,Bernie Sanders never voted yes on sanctions against Russia,['114 S 284'],"['114 SJRES 23', '113 SCONRES 28', '114 SRES 374', '116 SJRES 37', '116 S 4653', '115 SJRES 65', '115 SRES 584', '116 SJRES 26', '117 SJRES 14', '116 SJRES 38']","['114 HR 22', '117 HR 4346', '116 HR 748', '114 S 612', '114 S 2873', '114 S 2193', '116 HR 1957', '114 HR 719', '113 S 2569', '116 HR 6395']","['114 S 612', '114 HR 22', '113 HR 3204', '116 HR 748', '116 HR 1957', '117 HR 4346', '115 HR 1628', '114 S 2193', '114 SJRES 31', '114 S 1140']","['114 S 2193', '116 SJRES 37', '114 SRES 374', '116 SJRES 36', '116 SJRES 38', '116 S 311', '113 S 2685', '116 S 4653', '116 S 3275', '114 HR 34']","['114 SJRES 23', '113 SCONRES 28', '114 SRES 374', '116 SJRES 37', '116 S 4653', '115 SJRES 65', '115 SRES 584', '116 SJRES 26', '117 SJRES 14', '116 SJRES 38']","['114 HR 22', '113 S 2223', '114 S 612', '113 S 815', '115 HR 1628', '113 S 649', '116 HR 1957', '117 HR 1868', '117 HR 8404', '115 HR 6']","['116 SJRES 37', '115 SJRES 42', '116 SJRES 36', '113 SJRES 19', '116 SJRES 38', '115 SRES 584', '116 SJRES 26', '114 SJRES 39', '115 SJRES 65', '117 SJRES 35']","['117 SJRES 41', '116 SRES 331', '117 SJRES 14', '115 SJRES 52', '114 SJRES 23', '116 SJRES 37', '116 SRES 336', '115 HJRES 83', '117 SJRES 37', '114 SJRES 28']","['114 SJRES 23', '115 SJRES 63', '116 SJRES 50', '117 SJRES 14', '117 SJRES 41', '116 SRES 331', '116 SJRES 52', '117 SJRES 37', '116 SJRES 37', '115 SJRES 64']","['115 S 3275', '115 HR 5428', '115 SRES 582', '117 HR 7066', '116 HRES 474', '110 HCONRES 257', '117 HR 7429', '117 S 3867', '117 HR 6842', '118 SRES 72']","['113 S 1881', '112 S 1472', '112 HR 1905', '114 S 792', '114 S 269', '117 S 3513', '112 HR 4271', '111 HR 2194', '115 HR 3364', '113 S 1714']","['115 S 3275', '115 HR 5428', '116 HRES 474', '115 SRES 582', '118 SRES 72', '117 HR 6842', '117 HR 7066', '117 S 3867', '117 HR 7429', '117 S 3513']"
