sno,url,claim_entered,sourced_bills
10,https://www.politifact.com/factchecks/2020/oct/19/afscme/arizona-house-race-attack-ad-zeroes-prescription-d/,"David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices",['116 HR 19']
11,https://www.politifact.com/factchecks/2020/oct/14/tommy-tuberville/tommy-tuberville-wrong-twice-attack-alabama-sen-do/,Doug Jones has voted to spend our tax dollars on late-term abortions and supports abortion up until birth,['116 S 109']
12,https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/,Martha McSally voted to take away money from Fort Huachuca to pay for the border wall,"['116 HJRES 46', '116 SJRES 54']"
13,https://www.politifact.com/factchecks/2020/oct/12/national-republican-congressional-committee/lucy-mcbath-didnt-vote-release-murderers-rapists-p/,Lucy McBath voted to release criminals from prison,['116 HR 6800']
14,https://www.politifact.com/factchecks/2020/oct/12/nancy-mace/sc-rep-cunningham-did-not-vote-5m-tax-funds-go-cam/,Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians campaigns to pay for personal expenses and TV ads,['116 HR 1']
15,https://www.politifact.com/factchecks/2020/sep/01/viral-image/facebook-post-mischaracterizes-democratic-senators/,Kamala Harris voted to let babies scream until they die if born alive,"['116 S 311', '107 HR 2175']"
16,https://www.politifact.com/factchecks/2020/aug/25/duty-and-honor/misleading-ad-montana-senate-race-casts-steve-dain/,Sen. Steve Daines voted to give billions in tax breaks to big drug companies even as they raised prices,['116 S 2543']
17,https://www.politifact.com/factchecks/2020/aug/24/paul-junge/fact-check-junge-says-slotkin-voted-against-condem/,Rep. Elissa Slotkin voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments,"['116 HRES 1031', '116 HRES 1028', '116 HR 2', '116 HR 6395']"
18,https://www.politifact.com/factchecks/2020/mar/08/rush-darwish/challengers-account-lipinskis-immigration-record-f/,"U.S. Rep. Dan Lipinski voted against the DREAM Act, supports separating families and banning Muslims","['111 HR 5281', '116 HR 6', '116 HR 541', '116 HR 2214']"
19,https://www.politifact.com/factchecks/2020/mar/02/cal-cunningham/cunningham-says-tills-voted-take-away-coverage-pre/,Sen. Thom Tillis voted to take away coverage for people with pre-existing conditions,['115 S 3388']
20,https://www.politifact.com/factchecks/2020/feb/27/tweets/dating-back-1991-and-his-time-house-bernie-sanders/,Bernie Sanders never voted yes on sanctions against Russia,['114 S 284']
21,https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Sen. Rand Paul voted no to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']"
22,https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/,Rep. Ilhan Omar voted yes to provide further funding for the 9/11 First Responders Victims Fund,"['116 HR 1327', '116 S 546', '116 HR 1327', '116 S 546']"
23,https://www.politifact.com/factchecks/2019/apr/26/justice-democrats/biden-draws-barbs-progressive-democratic-organizat/,"Joe Biden voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation","['100 HR 05210', '103 HR 3355', '109 S 256']"
24,https://www.politifact.com/factchecks/2018/oct/31/donald-trump/donald-trumps-wild-number-sanctuary-city-criminal-/,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country","['115 HR 1236', '115 S 303']"
25,https://www.politifact.com/factchecks/2018/oct/29/linda-coleman/holding-voted-quite-consistently-healthcare-bills/,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions","['113 HR 45', '113 HR 2009', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27', '114 SCONRES 11', '114 HR 3762']"
26,https://www.politifact.com/factchecks/2018/oct/25/donald-trump/mostly-false-donald-trump-claim-beto-orourke-voted/,Beto O Rourke voted to shield MS-13 gang members from deportation,['115 HR 3697']
27,https://www.politifact.com/factchecks/2018/oct/22/kathy-manning/fact-checking-kathy-mannings-ad-ted-budd-and-pre-e/,Ted Budd voted to gut protections for pre-existing conditions letting insurance companies deny coverage for (necessary) treatment,['115 HR 1628']
28,https://www.politifact.com/factchecks/2018/oct/11/abigail-spanberger/spanberger-ad-exaggerates-brats-vote-pre-existing-/,Dave Brat voted against protecting pre-existing conditions,['115 HR 1628']
29,https://www.politifact.com/factchecks/2018/oct/09/taylor-swift/taylor-swift-marsha-blackburn-voted-against-reauth/,"Marsha Blackburn voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape",['113 S 47']
30,https://www.politifact.com/factchecks/2018/oct/05/maine-democratic-party/did-bruce-poliquin-vote-strip-117000-people-health/,"Bruce Poliquin voted to strip 117,000 Mainers of their insurance",['115 HR 1628']
31,https://www.politifact.com/factchecks/2018/oct/03/antonio-delgado/antonio-delgado-misleads-claiming-john-faso-voted-/,U.S. Rep. John Faso voted for an age tax on seniors,['115 HR 1628']
32,https://www.politifact.com/factchecks/2018/oct/02/senate-leadership-fund/gop-super-pac-ad-skips-over-jacky-rosens-yes-vote-/,Jacky Rosen voted against stopping criminals from re-entering the United States,['115 HR 3004']
33,https://www.politifact.com/factchecks/2018/sep/24/lizzie-pannill-fletcher/texass-fletcher-tries-hit-culberson-obamacare/,Texas U.S. Rep John Culberson voted to let insurance companies charge people 50 and over five times more than younger people,['115 HR 1628']
34,https://www.politifact.com/factchecks/2018/sep/21/martha-mcsally/martha-mcsallys-claim-kyrsten-sinema-voted-cut-ice/,U.S. Rep. Kyrsten Sinema voted to cut ICE,"['115 HR 1625', '115 HR 244', '114 HR 2029', '113 HR 83', '113 HR 3547', '115 HRES 990', '115 HRES 990']"
35,https://www.politifact.com/factchecks/2018/sep/19/kyrsten-sinema/fact-checking-kyrsten-sinemas-claim-about-age-tax-/,Kyrsten Sinema voted to stop a new age tax under which Arizonans age 50 & over could be charged 5 times more for their health care.,['115 HR 1628']
36,https://www.politifact.com/factchecks/2018/sep/12/aftab-pureval/chabots-votes-contradict-his-health-care-talk/,Steve Chabot voted to strip insurance protections for pre-existing conditions,"['112 HR 2', '112 HR 6079', '114 HR 596']"
37,https://www.politifact.com/factchecks/2018/sep/12/one-nation-pac/immigration-joe-donnelly-amnesty-criminals-indiana/,"Joe Donnelly voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.",['113 S 744']
38,https://www.politifact.com/factchecks/2018/aug/29/ted-cruz/ted-cruz-says-beto-orourke-voted-against-tax-relie/,Beto O Rourke voted against Hurricane Harvey tax relief,['115 HR 3823']
39,https://www.politifact.com/factchecks/2018/aug/24/heidi-heitkamp/kevin-cramers-votes-pre-existing-conditions/,"Kevin Cramer voted to let insurance companies go back to denying coverage for 300,000 North Dakotans with pre-existing conditions","['115 HR 1628', '114 HR 3762', '114 HCONRES 27']"
40,https://www.politifact.com/factchecks/2018/jul/25/corey-stewart/stewart-mark-repeated-attacks-kaines-support-milit/,Sen. Tim Kaine even voted against giving more money to our men and women who are in the military service and against our housing allowance,['115 HR 1625']
41,https://www.politifact.com/factchecks/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Ron DeSantis voted in an agricultural bill to give food stamps to illegal immigrants,"['113 HR 2642', '113 HR 1947']"
42,https://www.politifact.com/factchecks/2018/jun/15/new-republican-pac/republican-pac-misleads-ad-about-sen-bill-nelsons-/,Bill Nelson voted for cuts to Medicare providers and voted to weaken Social Security protections as a U.S. senator,['113 HJRES 59']
43,https://www.politifact.com/factchecks/2018/jun/05/tennessee-democratic-party/tennessee-democrats-slam-blackburn-military-pay-vo/,Marsha Blackburn voted against military pay raise,"['115 HR 5515', '115 HR 2220']"
44,https://www.politifact.com/factchecks/2018/jun/04/donald-trump/did-rep-dan-donovan-vote-tax-cuts-trump-said/,Rep. Dan Donovan voted for Tax Cuts,['115 HR 1892']
45,https://www.politifact.com/factchecks/2018/may/31/sherrod-brown/sherrod-brown-misleads-lobbyist-attack-jim-renacci/,Jim Renacci voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest,"['114 HRES 921', '114 HR 6324', '114 HRES 5']"
46,https://www.politifact.com/factchecks/2018/may/14/jacky-rosen/rosen-misleads-heller-yucca-mountain-vote/,Dean Heller has voted for a GOP bill that funded efforts to revive Yucca Mountain,"['112 HR 1', '115 S 95']"
47,https://www.politifact.com/factchecks/2018/may/04/rick-scott/gov-rick-scott-attack-mischaracterizes-vote-sen-bi/,Bill Nelson voted against requiring Iran to recognize Israel and release American hostages,['114 HJRES 61']
48,https://www.politifact.com/factchecks/2018/may/04/mike-braun/indianas-mike-braun-misleads-about-opponents-recor/,Todd Rokita voted to fast-track Obama trade deals,"['114 HR 2146', '114 HR 2146']"
49,https://www.politifact.com/factchecks/2018/may/04/mike-braun/indianas-mike-braun-misleads-about-opponents-recor/,Luke Messer voted to fast-track Obama trade deals,"['114 HR 2146', '114 HR 2146']"
50,https://www.politifact.com/factchecks/2018/apr/11/arizona-democratic-party/arizona-democratic-party-claims-gop-lawmaker-mcsal/,Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent,['115 SJRES 34']
51,https://www.politifact.com/factchecks/2018/mar/29/uncle-sams-misguided-children/misleading-attack-ron-desantis-about-farm-bill-foo/,U.S. Rep. Ron DeSantis voted in favor of food stamps for illegal immigrants,['113 HR 2642']
52,https://www.politifact.com/factchecks/2018/feb/06/say-anything-blog/heitkamp-didnt-high-five-schumer-abortion/,Heitkamp Voted Against 20-Week Abortion Ban,['115 S 2311']
53,https://www.politifact.com/factchecks/2018/jan/12/gwen-graham/did-ron-desantis-cast-deciding-vote-against-legisl/,"In Congress, RonDeSantis was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling",['113 HR 2231']
54,https://www.politifact.com/factchecks/2017/may/11/save-my-care/gop-health-care-bill-charges-five-times-more-peopl/,Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50,['115 HR 1628']
55,https://www.politifact.com/factchecks/2016/nov/06/jason-kander/kander-ad-accusing-blunt-voting-raise-his-pay-misl/,Roy Blunt voted to raise his own pay 12 times while in Congress,"['105 S 01023', '105 HR 2378', '106 HR 246', '106 HR 2490', '106 HRES 560', '106 HR 4871', '107 HRES 206', '107 HR 2590', '107 HRES 488', '107 HR 5120', '108 HRES 351', '108 HR 2989', '108 HRES 770', '108 HR 5025', '109 HRES 342', '109 HR 3058', '109 HR 3058', '109 HRES 865', '109 HR 5576', '110 HRES 517', '110 HR 2829', '111 HR 1105', '111 HRES 184', '111 HR 5146', '111 HR 3082']"
56,https://www.politifact.com/factchecks/2016/nov/03/russ-feingold/russ-feingolds-attack-donald-trump-and-ron-johnson/,Johnson voted against the Violence Against Women Act,"['112 S 91', '112 S 91']"
57,https://www.politifact.com/factchecks/2016/nov/02/deborah-ross/did-richard-burr-vote-protect-tax-breaks-companies/,Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people,"['112 S 3364', '113 S 2569']"
58,https://www.politifact.com/factchecks/2016/oct/18/deborah-ross/nc-senate-race-democrat-deborah-ross-ad-against-go/,Richard Burr voted no on the Violence Against Women Act,"['106 HR 3244', '109 HR 3402', '113 S 47']"
59,https://www.politifact.com/factchecks/2016/oct/07/democratic-senatorial-campaign-committee/ad-claims-kelly-ayotte-voted-billion-dollar-tax-br/,Kelly Ayotte voted to give big oil more than $20 billion in tax breaks,['112 S 940']
60,https://www.politifact.com/factchecks/2016/oct/05/colleen-deacon/katko-voted-against-planned-parenthood-funding-fou/,Rep. John Katko promised he wouldn vote to defund Planned Parenthood and since he been in office he done that four times,"['114 HR 3134', '114 HCONRES 79', '114 HR 3762', '114 HR 3762']"
61,https://www.politifact.com/factchecks/2016/sep/29/ted-strickland/sen-rob-portman-voted-let-terrorists-buy-guns-nope/,Rob Portman even voted to allow people on the terrorism watch list to buy guns,['114 HR 5504']
62,https://www.politifact.com/factchecks/2016/sep/29/democratic-congressional-campaign-committee/democrats-mislead-attack-carlos-curbelos-record-cl/,Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obama's ability to fight pollution and combat climate change,"['114 HR 2028', '114 HR 348', '114 HRES 424', '114 SJRES 23', '114 SJRES 23']"
63,https://www.politifact.com/factchecks/2016/sep/27/afscme-people/unions-attack-marco-rubios-education-record/,Marco Rubio voted to slash school funding by billions of dollars and would eliminate the Department of Education,['112 HR 1']
64,https://www.politifact.com/factchecks/2016/sep/22/patrick-murphy/patrick-murphy-attacks-marco-rubio-votting-against/,Marco Rubio voted against every bill that would have helped keep our families safe,['114 HR 5504']
65,https://www.politifact.com/factchecks/2016/sep/14/marco-rubio/patrick-murphy-has-voted-against-every-zika-fundin/,Patrick Murphy is the only candidate to have voted against every measure to fund Zika,"['114 HR 5044', '114 HRES 751']"
66,https://www.politifact.com/factchecks/2016/sep/13/planned-parenthood-votes/planned-parenthood-votes-says-joe-heck-voted-crimi/,Nevada Republican Senate nominee Joe Heck voted to criminalize abortion for rape victims,['112 HR 3803']
67,https://www.politifact.com/factchecks/2016/sep/08/naral-pro-choice/naral-misleads-attack-marco-rubio-about-zika-fundi/,Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika),['114 HR 2577']
68,https://www.politifact.com/factchecks/2016/aug/29/republican-party-florida/republican-party-florida-facebook-post-misses-mark/,"Hillary Clinton voted to raise taxes on workers earning as little as $41,500",['110 SCONRES 70']
69,https://www.politifact.com/factchecks/2016/aug/26/russ-feingold/feingold-johnson-voted-five-times-tax-breaks-help-/,Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas,['114 SCONRES 11']
70,https://www.politifact.com/factchecks/2016/aug/24/patrick-murphy/rubio-voted-against-violence-against-women-act-mur/,Marco Rubio voted against the bipartisan Violence Against Women Act,"['103 HR 3355', '112 S 1925', '113 S 47']"
71,https://www.politifact.com/factchecks/2016/aug/08/howard-dean/howard-dean-largely-right-mike-pences-health-polic/,Mike Pence voted against expanding the Children Health Insurance program,"['110 HR 976', '111 HR 2', '111 HR 3590', '111 HR 4872']"
72,https://www.politifact.com/factchecks/2016/jul/25/tim-canova/tim-canova-attacks-debbie-wasserman-schultzs-recor/,Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups,"['114 HR 4793', '114 HR 230']"
73,https://www.politifact.com/factchecks/2016/may/24/ann-kirkpatrick/did-john-mccain-support-dream-act-then-vote-agains/,"Sen. John McCain told dreamers that he support the Dream Act, then he voted against it","['108 S 1545', '109 S 2075']"
74,https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-has-record-voting-/,Kelly Ayotte has voted to defund Planned Parenthood six times,['112 HCONRES 36']
75,https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-repeatedly-voted-a/,Kelly Ayotte has voted four times against the federal Paycheck Fairness Act,['113 S 2199']
76,https://www.politifact.com/factchecks/2016/apr/26/david-jolly/us-rep-david-jolly-says-he-voted-against-house-pla/,U.S. Rep. David Jolly was the only Republican to vote against creating a House panel to investigate Planned Parenthood,['114 HRES 461']
77,https://www.politifact.com/factchecks/2016/jan/18/hillary-clinton/fact-checking-hillary-clintons-claim-bernie-sander/,Bernie Sanders voted for what we call the Charleston Loophole,['103 HR 1025']
78,https://www.politifact.com/factchecks/2016/jan/07/hillary-clinton/hillary-clintons-syrian-air-strikes-claim-against-/,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people,['113 SJRES 21']
